"state","placefp","cbsa10","stab","placenm","cbsaname10","pop10","afact"
"State code","Place code","CBSA (2010)","State abbreviation","Place name","2010 CBSA name","Population (2010)","placefp to cbsa10 allocation factor"
"01","24664","46220","AL","Eutaw town, AL","Tuscaloosa, AL Metropolitan Statistical Area",2934,1 
"01","24688","19460","AL","Eva town, AL","Decatur, AL Metropolitan Statistical Area",519,1 
"01","24808","99999","AL","Evergreen city, AL","99999",3944,1 
"01","24880","99999","AL","Excel town, AL","99999",723,1 
"01","25120","13820","AL","Fairfield city, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",11117,1 
"01","25216","99999","AL","Fairford CDP, AL","99999",186,1 
"01","25240","19300","AL","Fairhope city, AL","Daphne-Fairhope-Foley, AL Micropolitan Statistical Area",15326,1 
"01","25384","18980","AL","Fairview town, AL","Cullman, AL Micropolitan Statistical Area",446,1 
"01","25648","19460","AL","Falkville town, AL","Decatur, AL Metropolitan Statistical Area",1279,1 
"01","25816","99999","AL","Faunsdale town, AL","99999",98,1 
"01","25840","99999","AL","Fayette city, AL","99999",4619,1 
"01","25864","45180","AL","Fayetteville CDP, AL","Talladega-Sylacauga, AL Micropolitan Statistical Area",1284,1 
"01","26152","99999","AL","Fitzpatrick CDP, AL","99999",83,1 
"01","26200","46740","AL","Five Points town, AL","Valley, AL Micropolitan Statistical Area",141,1 
"01","26824","99999","AL","Flomaton town, AL","99999",1440,1 
"01","26848","99999","AL","Florala town, AL","99999",1980,1 
"01","26896","22520","AL","Florence city, AL","Florence-Muscle Shoals, AL Metropolitan Statistical Area",39319,1 
"01","26992","19300","AL","Foley city, AL","Daphne-Fairhope-Foley, AL Micropolitan Statistical Area",14618,1 
"01","27088","13820","AL","Forestdale CDP, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",10162,1 
"01","27376","46220","AL","Forkland town, AL","Tuscaloosa, AL Metropolitan Statistical Area",649,1 
"01","27520","33860","AL","Fort Deposit town, AL","Montgomery, AL Metropolitan Statistical Area",1344,1 
"01","27616","22840","AL","Fort Payne city, AL","Fort Payne, AL Micropolitan Statistical Area",14012,1 
"01","27640","21460","AL","Fort Rucker CDP, AL","Enterprise-Ozark, AL Micropolitan Statistical Area",4636,1 
"01","28024","46260","AL","Franklin town, AL","Tuskegee, AL Micropolitan Statistical Area",149,1 
"01","28120","46740","AL","Fredonia CDP, AL","Valley, AL Micropolitan Statistical Area",199,1 
"01","28312","99999","AL","Frisco City town, AL","99999",1309,1 
"01","28408","99999","AL","Fruitdale CDP, AL","99999",185,1 
"01","28432","99999","AL","Fruithurst town, AL","99999",284,1 
"01","28504","99999","AL","Fulton town, AL","99999",272,1 
"01","28552","13820","AL","Fultondale city, AL","Birmingham-Hoover, AL Metropolitan Statistical Area",8380,1 
"01","28672","22840","AL","Fyffe town, AL","Fort Payne, AL Micropolitan Statistical Area",1018,1 
"01","28696","23460","AL","Gadsden city, AL","Gadsden, AL Metropolitan Statistical Area",36856,1 
